Handle,Title,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,SKU,Online Brite Creations,Retail Brite Creations
francesco,Francesco,Size,10.5,Color,Navy,,,francesco-10.5-navy,1,0
francesco,Francesco,Size,11,Color,Cognac,,,francesco-11-cognac,0,0
francesco,Francesco,Size,11,Color,Light Grey,,,francesco-11-lightgrey,1,0
francesco,Francesco,Size,11,Color,Navy,,,francesco-11-navy,1,0
francesco,Francesco,Size,11.5,Color,Cognac,,,francesco-11.5-cognac,0,0
francesco,Francesco,Size,11.5,Color,Light Grey,,,francesco-11.5-lightgrey,0,0
francesco,Francesco,Size,11.5,Color,Navy,,,francesco-11.5-navy,1,0
francesco,Francesco,Size,12,Color,Cognac,,,francesco-12-cognac,0,0
francesco,Francesco,Size,12,Color,Light Grey,,,francesco-12-lightgrey,0,0
francesco,Francesco,Size,12,Color,Navy,,,francesco-12-navy,0,0
francesco,Francesco,Size,13,Color,Cognac,,,francesco-13-cognac,0,0
francesco,Francesco,Size,13,Color,Light Grey,,,francesco-13-lightgrey,1,0
francesco,Francesco,Size,13,Color,Navy,,,francesco-13-navy,0,0
francesco,Francesco,Size,14,Color,Cognac,,,francesco-14-cognac,0,0
francesco,Francesco,Size,14,Color,Light Grey,,,francesco-14-lightgrey,0,0
francesco,Francesco,Size,14,Color,Navy,,,francesco-14-navy,0,0
francesco,Francesco,Size,15,Color,Cognac,,,francesco-15-cognac,0,0
francesco,Francesco,Size,15,Color,Light Grey,,,francesco-15-lightgrey,0,0
francesco,Francesco,Size,15,Color,Navy,,,francesco-15-navy,0,0
franco,Franco,Size,7,Color,Burgundy,,,franco-7-burgundy,0,0
franco,Franco,Size,7,Color,Cognac,,,franco-7-cognac,0,0
franco,Franco,Size,7,Color,Navy,,,franco-7-navy,0,0
franco,Franco,Size,7.5,Color,Burgundy,,,franco-7.5-burgundy,0,0
franco,Franco,Size,7.5,Color,Cognac,,,franco-7.5-cognac,0,0
franco,Franco,Size,7.5,Color,Navy,,,franco-7.5-navy,0,0
franco,Franco,Size,8,Color,Burgundy,,,franco-8-burgundy,1,0
franco,Franco,Size,8,Color,Cognac,,,franco-8-cognac,0,0
franco,Franco,Size,8,Color,Navy,,,franco-8-navy,1,0
franco,Franco,Size,8.5,Color,Burgundy,,,franco-8.5-burgundy,1,0
franco,Franco,Size,8.5,Color,Cognac,,,franco-8.5-cognac,0,0
franco,Franco,Size,8.5,Color,Navy,,,franco-8.5-navy,0,0
franco,Franco,Size,9,Color,Burgundy,,,franco-9-burgundy,1,0
franco,Franco,Size,9,Color,Cognac,,,franco-9-cognac,0,0
franco,Franco,Size,9,Color,Navy,,,franco-9-navy,1,0
franco,Franco,Size,9.5,Color,Burgundy,,,franco-9.5-burgundy,1,0
franco,Franco,Size,9.5,Color,Cognac,,,franco-9.5-cognac,1,0
franco,Franco,Size,9.5,Color,Navy,,,franco-9.5-navy,0,0
franco,Franco,Size,10,Color,Burgundy,,,franco-10-burgundy,1,0
franco,Franco,Size,10,Color,Cognac,,,franco-10-cognac,1,0
franco,Franco,Size,10,Color,Navy,,,franco-10-navy,1,0
franco,Franco,Size,10.5,Color,Burgundy,,,franco-10.5-burgundy,0,0
franco,Franco,Size,10.5,Color,Cognac,,,franco-10.5-cognac,0,0
franco,Franco,Size,10.5,Color,Navy,,,franco-10.5-navy,0,0
franco,Franco,Size,11,Color,Burgundy,,,franco-11-burgundy,0,0
franco,Franco,Size,11,Color,Cognac,,,franco-11-cognac,0,0
franco,Franco,Size,11,Color,Navy,,,franco-11-navy,0,0
